"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C100","1","10pF","","","","",""
"C117","1","18pF","","","","",""
"C1,C2,C60,C114","4","47pF","","","","",""
"C97","1","0.001uF","","","","",""
"C98,C101","2","0.047uF","","","","",""
"C9,C19","2","10uF","","","","",""
"R34,R35","2","22R","","","","",""
"R8,R25,R26","3","30R","","","","",""
"J101","1","32 Bit Mem Connector","","","","",""
"MRB4,RB4","2","33R","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"MRP1","1","33R","","","","",""
"R37","1","51R","","","","",""
"R44","1","60R","","","","",""
"R31,R33,R36,R38","4","68R","","","","",""
"MU25,U71","2","74F00","","","","","http://www.ti.com/lit/gpn/sn74ls00"
"MU9","1","74F04","","","","","http://www.ti.com/lit/gpn/sn74LS04"
"U73","1","74F08","","","","","http://www.ti.com/lit/gpn/sn74LS08"
"U92","1","74F11","","","","","http://www.ti.com/lit/gpn/sn74LS11"
"MU3,MU19,MU24,MU50","4","74F32","","","","","http://www.ti.com/lit/gpn/sn74LS32"
"U69","1","74F74","","","","Package_DIP:DIP-28_W15.24mm","74xx/74hc_hct74.pdf"
"U84","1","74F74BB","","","","","74xx/74hc_hct74.pdf"
"MU2,U79,U82,U83","4","74F74","","","","","74xx/74hc_hct74.pdf"
"R10,R13,R18,R28/9,R30,R42","6","180R","","","","",""
"R3","1","270R","","","","",""
"R5,R12,R16,R20,R21,R24","6","1K","","","","",""
"U12,U13,U14,U15,U112","5","2764","","","","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/11107M.pdf"
"U86","1","4069","","","","","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf"
"MRP5,MRP7,MRP8,MRP9","4","4K7","","","","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
"R4","1","4K7","","","","",""
"U78","1","8042","","","","",""
"MRP6","1","8K2","","","","Resistor_THT:R_Array_SIP11","http://www.vishay.com/docs/31509/csc.pdf"
"R15,R22","2","8K2","","","","",""
"RP3,RP4,RP5","3","8K2","","","","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
"RP6,RP8","2","8K2","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"U22,U23","2","8237A","","","","Package_DIP:DIP-40_W15.24mm",""
"U44,U45","2","8254","","","","Package_DIP:DIP-24_W15.24mm","http://www.scs.stanford.edu/10wi-cs140/pintos/specs/8254.pdf"
"R39,R40","2","10K","","","","",""
"R14,R41,R999,R1000,RX1,RX2","6","20K","","","","",""
"RP7","1","20K","","","","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
"Y2","1","32.76KHz","","","","",""
"R2","1","48K","","","","",""
"MU15,MU16,MU17","3","74F158","","","","","http://www.ti.com/lit/gpn/sn74LS158"
"MU21,MU74,U65,U74","4","74F175","","","","","74xx/74hc_hct74.pdf"
"U89","1","74F175BB","","","","","74xx/74hc_hct74.pdf"
"U59","1","74F257BB","","","","","http://www.ti.com/lit/gpn/sn74LS257"
"MU5,MU13","2","74F521","","","","",""
"MU11,MU12","2","74F573","","","","","http://www.ti.com/lit/gpn/sn74LS573"
"MU26,MU30,MU36,MU42","4","74F657","","","","",""
"R1","1","87K","","","","",""
"R19","1","470K","","","","",""
"R17","1","22M","","","","",""
"CR1,CR2,CR3","3","1N914","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"MU31","1","51256-10","","","","Package_DIP:DIP-16_W7.62mm","https://minuszerodegrees.net/memory/41256/datasheet_HM50256.pdf"
"U54,U66","2","74ALS00","","","","","http://www.ti.com/lit/gpn/sn74ls00"
"U88","1","74ALS02","","","","","http://www.ti.com/lit/gpn/sn74ls02"
"U55","1","74ALS04","","","","","http://www.ti.com/lit/gpn/sn74LS04"
"MU10,U53","2","74ALS08","","","","","http://www.ti.com/lit/gpn/sn74LS08"
"MU1,MU8,U7,U61,U63,U67,U70,U72,U81,U90","10","74ALS74","","","","","74xx/74hc_hct74.pdf"
"U16","1","74ALS163","","","","","http://www.ti.com/lit/gpn/sn74LS163"
"MU6,MU14,U9,U11,U19,U21,U24,U25,U34,U35","10","74ALS573","","","","","http://www.ti.com/lit/gpn/sn74LS573"
"U91","1","74ALS1035","","","","","www.ti.com/lit/ds/symlink/sn74ls07.pdf"
"MU22","1","74ALS29827DP","","","","",""
"U75","1","74HC125","","","","","http://www.ti.com/lit/gpn/sn74HC125"
"MU20,MU43","2","74LS20","","","","","http://www.ti.com/lit/gpn/sn74LS20"
"U62","1","74LS51","","","","","http://www.ti.com/lit/ds/symlink/sn74ls51.pdf"
"U47,U48","2","74LS125","","","","","http://www.ti.com/lit/gpn/sn74LS125"
"U49","1","74LS138","","","","","http://www.ti.com/lit/gpn/sn74LS138"
"U50","1","74LS175","","","","","http://www.ti.com/lit/gpn/sn74LS175"
"U28","1","74LS243","","","","","http://www.ti.com/lit/gpn/sn74LS243"
"MU54,U4,U26,U37,U40,U41,U51","7","74LS244","","","","","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"U3,U8,U10,U17,U18,U20,U27,U33","8","74LS245","","","","","http://www.ti.com/lit/gpn/sn74LS245"
"U57","1","74LS273","","","","","http://www.ti.com/lit/gpn/sn74LS273"
"U5","1","74LS590","","","","","http://www.ti.com/lit/gpn/sn74ls590"
"U30","1","74LS612","","","","Package_DIP:DIP-40_W15.24mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"U39","1","74LSA573","","","","","http://www.ti.com/lit/gpn/sn74LS573"
"U1,U2","2","8259A-2","","","","Package_DIP:DIP-28_W15.24mm","http://pdos.csail.mit.edu/6.828/2005/readings/hardware/8259A.pdf"
"MU7,MU18,MU59,U29,U31,U32,U38,U46,U52,U64,U68","11","ATF16V8B","","","","","www.ti.com/lit/ds/symlink/sn74ls07.pdf"
"U56,U58","2","ATF22V10","","","","",""
"J118","1","BATTERY","","","","",""
"J102","1","Bus_ISA_16bit","","","","","https://en.wikipedia.org/wiki/Industry_Standard_Architecture"
"E123,ER1,ER2","3","Conn_01x09_Pin","","","","",""
"P101","1","Conn_01x80_Pin_Memory_Board","","","","",""
"F2","1","F 5A","","","","",""
"L1,L2,L3,L4,L6","5","FerriteBead","","","","",""
"U76","1","I386DX_PGA","","","","",""
"J116","1","KEYBOARD","","","","",""
"H2","1","KEYLOCK","","","","",""
"U77","1","MC146818","","","","Package_DIP:DIP-24_W15.24mm",""
"U6","1","MXO45HS-3C-14.3M","","","","MXO45HS3C25M1750","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1439510.pdf"
"U85","1","MXO45HS-3C-32M","","","","MXO45HS3C32M0000","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1439510.pdf"
"U93","1","SN75477","","","","","https://www.ti.com/lit/gpn/SN75477"
"J115","1","SPEAKER","","","","",""
"SW1","1","SW_DIP_x08","","","","",""
"Q1","1","TL431LP","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf"
